GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"org.apache.sling.api (7 Jun, 2019 1:25:14 AM)/org.apache.sling.api/src/main/java",org.apache.sling.api.adapter,SlingAdaptable,57,3,12,0,18,1,9,1,3,1
"org.apache.sling.api (7 Jun, 2019 1:25:14 AM)/org.apache.sling.api/src/main/java",org.apache.sling.api.servlets,HttpConstants,3,0,0,0,1,0,1,0,1,0
"org.apache.sling.api (7 Jun, 2019 1:25:14 AM)/org.apache.sling.api/src/main/java",org.apache.sling.api.servlets,SlingAllMethodsServlet,126,0,18,0,29,0,16,0,7,0
"org.apache.sling.api (7 Jun, 2019 1:25:14 AM)/org.apache.sling.api/src/main/java",org.apache.sling.api.servlets,ServletResolverConstants,3,0,0,0,1,0,1,0,1,0
"org.apache.sling.api (7 Jun, 2019 1:25:14 AM)/org.apache.sling.api/src/main/java",org.apache.sling.api.servlets,SlingSafeMethodsServlet,333,0,36,0,83,0,31,0,13,0
"org.apache.sling.api (7 Jun, 2019 1:25:14 AM)/org.apache.sling.api/src/main/java",org.apache.sling.api.servlets,HtmlResponse,482,0,42,0,122,0,51,0,29,0
"org.apache.sling.api (7 Jun, 2019 1:25:14 AM)/org.apache.sling.api/src/main/java",org.apache.sling.api.servlets,SlingSafeMethodsServlet.NoBodyOutputStream,36,0,2,0,11,0,7,0,6,0
"org.apache.sling.api (7 Jun, 2019 1:25:14 AM)/org.apache.sling.api/src/main/java",org.apache.sling.api.servlets,SlingSafeMethodsServlet.NoBodyResponse,53,0,4,0,15,0,7,0,5,0
"org.apache.sling.api (7 Jun, 2019 1:25:14 AM)/org.apache.sling.api/src/main/java",org.apache.sling.api.auth,NoAuthenticationHandlerException,3,0,0,0,2,0,1,0,1,0
"org.apache.sling.api (7 Jun, 2019 1:25:14 AM)/org.apache.sling.api/src/main/java",org.apache.sling.api.auth,Authenticator,4,0,0,0,1,0,1,0,1,0
